Year,index_nsa,"City, State",Homicides,Robberies,Assaults
1975,41.08,"Atlanta, GA",0.377,7.923,8.074
1975,30.75,"Chicago, IL",0.260,7.038,4.499
1975,36.35,"Cleveland, OH",0.436,10.759,4.569
1975,20.91,"Oakland, CA",0.329,9.430,7.710
1975,20.385,"Seattle, WA",0.103,4.177,3.607
1975,31.215,"Washington, DC",0.328,12.761,4.654
1976,40.7425,"Atlanta, GA",0.337,7.391,8.736
1976,34.93,"Baltimore, MD",0.232,9.007,7.243
1976,32.9175,"Chicago, IL",0.260,5.608,3.908
1976,41.01333333,"Cincinnati, OH",0.131,3.571,4.402
1976,39.99,"Cleveland, OH",0.367,8.490,4.370
1976,39.21333333,"Columbus, OH",0.089,3.226,2.205
1976,42.6125,"Dallas, TX",0.259,3.504,4.391
1976,32.08,"Aurora, CO",0.015,1.258,2.864
1976,32.08,"Denver, CO",0.164,3.899,3.779
1976,36.38,"Detroit, MI",0.497,15.901,5.864
1976,56.38,"Houston, TX",0.217,3.745,1.485
1976,36.345,"Miami, FL",0.248,6.829,8.193
1976,37.84333333,"Minneapolis, MN",0.068,3.540,3.825
1976,25.45333333,"Newark, NJ",0.269,10.422,7.154
1976,24.385,"Oakland, CA",0.294,8.688,7.571
1976,36.16,"Philadelphia, PA",0.176,4.062,2.603
1976,42.84,"Pittsburgh, PA",0.127,4.966,4.393
1976,30.19333333,"Portland, OR",0.103,5.037,6.192
1976,29.89,"Sacramento, CA",0.199,4.553,5.984
1976,23.1275,"Seattle, WA",0.083,4.296,3.819
1976,42.62,"Tampa, FL",0.153,3.733,6.803
1976,32.4375,"Washington, DC",0.268,10.034,4.511
1976,54.29,"Wichita, KS",0.074,2.004,2.266
1977,37.915,"Albuquerque, NM",0.106,2.579,5.490
1977,42.4825,"Atlanta, GA",0.313,7.618,9.319
1977,41.04333333,"Austin, TX",0.103,1.591,2.221
1977,37.245,"Baltimore, MD",0.207,9.140,7.914
1977,25.05,"Boston, MA",0.121,9.131,5.961
1977,38.695,"Buffalo, NY",0.108,4.387,5.003
1977,39.925,"Charlotte, NC",0.179,2.341,6.039
1977,38.8925,"Chicago, IL",0.267,5.349,3.738
1977,44.815,"Cincinnati, OH",0.170,3.836,4.112
1977,45.9575,"Cleveland, OH",0.390,10.122,4.236
1977,40.75,"Columbus, OH",0.121,3.080,2.491
1977,48.3825,"Dallas, TX",0.256,4.163,5.766
1977,36.255,"Aurora, CO",0.022,1.210,3.032
1977,36.255,"Denver, CO",0.140,4.783,4.750
1977,38.395,"Detroit, MI",0.364,12.027,5.894
1977,51.535,"Arlington, TX",0.035,0.752,2.655
