TBLID,GEOID,GEONAME,PROFLN,ESTIMATE,MG_ERROR
R2510,0400000US01,Alabama,87,"172,800","+/-2,083"
R2510,0400000US02,Alaska,87,"304,900","+/-7,331"
R2510,0400000US04,Arizona,87,"336,300","+/-2,390"
R2510,0400000US05,Arkansas,87,"162,300","+/-1,975"
R2510,0400000US06,California,87,"648,100","+/-2,021"
R2510,0400000US08,Colorado,87,"466,200","+/-2,390"
R2510,0400000US09,Connecticut,87,"311,500","+/-3,506"
R2510,0400000US10,Delaware,87,"300,500","+/-6,189"
R2510,0400000US12,Florida,87,"290,700","+/-1,438"
R2510,0400000US13,Georgia,87,"249,700","+/-2,441"
R2510,0400000US15,Hawaii,87,"722,500","+/-13,667"
R2510,0400000US16,Idaho,87,"369,300","+/-4,847"
R2510,0400000US17,Illinois,87,"231,500","+/-1,606"
R2510,0400000US18,Indiana,87,"182,400","+/-2,006"
R2510,0400000US19,Iowa,87,"174,400","+/-1,658"
R2510,0400000US20,Kansas,87,"183,800","+/-2,802"
R2510,0400000US21,Kentucky,87,"173,300","+/-1,712"
R2510,0400000US22,Louisiana,87,"192,800","+/-3,009"
R2510,0400000US23,Maine,87,"252,100","+/-5,027"
R2510,0400000US24,Maryland,87,"370,800","+/-2,525"
R2510,0400000US25,Massachusetts,87,"480,600","+/-3,093"
R2510,0400000US26,Michigan,87,"199,100","+/-1,479"
R2510,0400000US27,Minnesota,87,"285,400","+/-1,533"
R2510,0400000US28,Mississippi,87,"145,600","+/-3,278"
R2510,0400000US29,Missouri,87,"198,300","+/-2,336"
R2510,0400000US30,Montana,87,"322,800","+/-6,580"
R2510,0400000US31,Nebraska,87,"204,900","+/-2,877"
R2510,0400000US32,Nevada,87,"373,000","+/-2,832"
R2510,0400000US33,New Hampshire,87,"345,200","+/-3,813"
R2510,0400000US34,New Jersey,87,"389,800","+/-2,392"
R2510,0400000US35,New Mexico,87,"214,000","+/-4,000"
R2510,0400000US36,New York,87,"368,800","+/-2,957"
R2510,0400000US37,North Carolina,87,"236,900","+/-2,044"
R2510,0400000US38,North Dakota,87,"224,400","+/-4,797"
R2510,0400000US39,Ohio,87,"180,200","+/-1,323"
R2510,0400000US40,Oklahoma,87,"168,500","+/-1,460"
R2510,0400000US41,Oregon,87,"422,700","+/-3,559"
R2510,0400000US42,Pennsylvania,87,"222,300","+/-1,434"
R2510,0400000US44,Rhode Island,87,"348,100","+/-5,126"
R2510,0400000US45,South Carolina,87,"213,500","+/-2,166"
R2510,0400000US46,South Dakota,87,"219,900","+/-4,969"
R2510,0400000US47,Tennessee,87,"235,200","+/-2,297"
R2510,0400000US48,Texas,87,"237,400","+/-1,389"
R2510,0400000US49,Utah,87,"421,700","+/-4,076"
R2510,0400000US50,Vermont,87,"271,500","+/-4,832"
R2510,0400000US51,Virginia,87,"330,600","+/-2,799"
R2510,0400000US53,Washington,87,"485,700","+/-2,911"
R2510,0400000US54,West Virginia,87,"143,200","+/-3,750"
R2510,0400000US55,Wisconsin,87,"230,700","+/-1,456"
R2510,0400000US56,Wyoming,87,"266,400","+/-7,331"
