year,month,dow,sex,count
1994,Jan,Sun,F,19980
1994,Jan,Sun,M,20268
1994,Jan,Mon,F,26015
1994,Jan,Mon,M,27132
1994,Jan,Tue,F,22615
1994,Jan,Tue,M,23903
1994,Jan,Wed,F,22248
1994,Jan,Wed,M,23194
1994,Jan,Thu,F,22375
1994,Jan,Thu,M,23670
1994,Jan,Fri,F,22626
1994,Jan,Fri,M,23708
1994,Jan,Sat,F,21156
1994,Jan,Sat,M,22107
1994,Feb,Sun,F,16103
1994,Feb,Sun,M,17011
1994,Feb,Mon,F,21720
1994,Feb,Mon,M,22575
1994,Feb,Tue,F,23263
1994,Feb,Tue,M,24664
1994,Feb,Wed,F,22797
1994,Feb,Wed,M,24023
1994,Feb,Thu,F,22870
1994,Feb,Thu,M,23660
1994,Feb,Fri,F,23148
1994,Feb,Fri,M,23886
1994,Feb,Sat,F,17552
1994,Feb,Sat,M,18356
1994,Mar,Sun,F,16225
1994,Mar,Sun,M,16874
1994,Mar,Mon,F,21607
1994,Mar,Mon,M,22722
1994,Mar,Tue,F,29485
1994,Mar,Tue,M,31394
1994,Mar,Wed,F,28558
1994,Mar,Wed,M,30064
1994,Mar,Thu,F,29056
1994,Mar,Thu,M,30433
1994,Mar,Fri,F,23103
1994,Mar,Fri,M,24318
1994,Mar,Sat,F,17763
1994,Mar,Sat,M,18476
1994,Apr,Sun,F,15552
1994,Apr,Sun,M,16152
1994,Apr,Mon,F,21463
1994,Apr,Mon,M,22549
1994,Apr,Tue,F,23528
1994,Apr,Tue,M,24746
1994,Apr,Wed,F,22606
1994,Apr,Wed,M,23973
1994,Apr,Thu,F,22744
1994,Apr,Thu,M,23757
1994,Apr,Fri,F,27761
1994,Apr,Fri,M,29237
1994,Apr,Sat,F,21281
1994,Apr,Sat,M,22364
1994,May,Sun,F,20118
1994,May,Sun,M,21178
1994,May,Mon,F,25990
1994,May,Mon,M,27143
1994,May,Tue,F,29112
1994,May,Tue,M,31126
1994,May,Wed,F,22717
1994,May,Wed,M,24022
1994,May,Thu,F,22854
1994,May,Thu,M,24365
1994,May,Fri,F,22731
1994,May,Fri,M,24069
1994,May,Sat,F,17157
1994,May,Sat,M,18018
1994,Jun,Sun,F,16140
1994,Jun,Sun,M,16966
1994,Jun,Mon,F,21841
1994,Jun,Mon,M,22663
1994,Jun,Tue,F,23560
1994,Jun,Tue,M,25111
1994,Jun,Wed,F,29515
1994,Jun,Wed,M,31093
1994,Jun,Thu,F,29000
1994,Jun,Thu,M,30816
1994,Jun,Fri,F,23143
1994,Jun,Fri,M,24436
1994,Jun,Sat,F,17377
1994,Jun,Sat,M,18425
1994,Jul,Sun,F,20859
1994,Jul,Sun,M,22355
1994,Jul,Mon,F,21171
1994,Jul,Mon,M,22324
1994,Jul,Tue,F,24161
1994,Jul,Tue,M,25164
