,SEXVAR,EXERANY2,MARIJAN1,RSNMRJN2,sex,exercised,marijuana_use
3209,1.0,2.0,,,male,no,
3320,1.0,1.0,,,male,yes,
4163,1.0,1.0,,,male,yes,
4172,2.0,2.0,,,female,no,
4434,1.0,1.0,,,male,yes,
4544,1.0,2.0,,,male,no,
4553,2.0,1.0,,,female,yes,
6547,1.0,1.0,88.0,,male,yes,
6762,2.0,1.0,88.0,,female,yes,
6780,2.0,1.0,99.0,,female,yes,
6957,1.0,1.0,88.0,,male,yes,
8392,1.0,1.0,3.0,2.0,male,yes,nonmedical
8421,1.0,1.0,88.0,,male,yes,
9846,1.0,1.0,88.0,,male,yes,
10005,1.0,1.0,,,male,yes,
10015,2.0,1.0,,,female,yes,
10039,1.0,1.0,,,male,yes,
12371,1.0,1.0,,,male,yes,
12828,1.0,1.0,,,male,yes,
13204,1.0,1.0,,,male,yes,
13415,2.0,1.0,,,female,yes,
14874,1.0,1.0,,,male,yes,
15122,1.0,1.0,,,male,yes,
15643,2.0,1.0,,,female,yes,
17285,2.0,1.0,,,female,yes,
17368,1.0,1.0,,,male,yes,
17407,1.0,1.0,,,male,yes,
17991,1.0,2.0,,,male,no,
18295,1.0,2.0,,,male,no,
18553,1.0,1.0,,,male,yes,
18777,2.0,1.0,,,female,yes,
18821,2.0,2.0,,,female,no,
18996,1.0,1.0,,,male,yes,
19279,2.0,1.0,,,female,yes,
20037,1.0,1.0,,,male,yes,
20164,1.0,1.0,,,male,yes,
20179,1.0,1.0,,,male,yes,
20251,1.0,1.0,,,male,yes,
20583,1.0,1.0,,,male,yes,
20642,2.0,1.0,,,female,yes,
23439,1.0,1.0,,,male,yes,
24028,2.0,1.0,,,female,yes,
24073,1.0,1.0,,,male,yes,
24205,1.0,1.0,,,male,yes,
24609,2.0,1.0,,,female,yes,
25028,2.0,1.0,,,female,yes,
25148,2.0,1.0,,,female,yes,
25618,2.0,1.0,,,female,yes,
25731,2.0,1.0,,,female,yes,
26055,2.0,1.0,,,female,yes,
26075,2.0,1.0,,,female,yes,
27355,1.0,1.0,,,male,yes,
27365,1.0,1.0,,,male,yes,
27473,1.0,1.0,,,male,yes,
27475,2.0,1.0,,,female,yes,
27568,1.0,1.0,,,male,yes,
