state,cases,population,gdp,urban
Alabama,7068,4903185,230750.1,59.04
Alaska,353,731545,54674.7,66.02
Arizona,7648,7278717,379018.8,89.81
Arkansas,3281,3017804,132596.4,56.16
California,50470,39512223,3205000.1,94.95
Colorado,15207,5758736,400863.4,86.15
Connecticut,27700,3565287,290703.0,87.99
Delaware,4734,973764,77879.4,83.3
Florida,33683,21477737,1126510.3,91.16
Georgia,25431,10617423,634137.5,75.07
Hawaii,609,1415872,97001.1,91.93
Idaho,2016,1787065,85791.1,70.58
Illinois,52918,12671821,893355.5,88.49
Indiana,18099,6732219,384871.7,72.44
Iowa,7145,3155070,196247.4,64.02
Kansas,4305,2913314,178605.1,74.2
Kentucky,4708,4467673,218426.1,58.38
Louisiana,28044,4648794,259079.3,73.19
Maine,1095,1344212,68984.9,38.66
Maryland,21825,6045680,432997.8,87.2
Massachusetts,62205,6892503,603209.6,91.97
Michigan,41348,9986857,543489.4,74.57
Minnesota,5136,5639632,389503.7,73.27
Mississippi,6815,2976149,117642.3,49.35
Missouri,7563,6137428,332659.7,70.44
Montana,452,1068778,54034.7,55.89
Nebraska,4332,1934408,133201.0,73.13
Nevada,5053,3080156,181751.6,94.2
New Hampshire,2146,1359711,88014.8,60.3
New Jersey,118652,8882190,642967.7,94.68
New Mexico,3411,2096829,106914.4,77.43
New York,309696,19453561,1791566.8,87.87
North Carolina,10507,10488084,601787.9,66.09
North Dakota,1067,762062,57471.9,59.9
Ohio,18027,11689100,703368.9,77.92
Oklahoma,3618,3956971,201604.3,66.24
Oregon,2510,4217737,258692.6,81.03
Pennsylvania,48224,12801989,818448.6,78.66
Rhode Island,8621,1059361,62335.4,90.73
South Carolina,6095,5148714,251664.5,66.33
South Dakota,2450,884659,56051.9,56.65
Tennessee,10506,6829174,380823.0,66.39
Texas,29072,28995881,1861581.9,84.7
Utah,4672,3205958,196639.4,90.58
Vermont,866,623989,34320.2,38.9
Virginia,15848,8535519,566529.4,75.45
Washington,14814,7614893,624861.4,84.05
West Virginia,1126,1792147,78480.5,48.72
Wisconsin,6973,5822434,353935.5,70.15
Wyoming,559,578759,40764.3,64.76
