a,Symbol,Weight,      Price
Unitedhealth Group Inc,UNH,8.315803,606.79
Goldman Sachs Group Inc,GS,8.27737,605.5
Home Depot Inc,HD,5.884052,429.52
Microsoft Corp,MSFT,5.748436,427.99
Caterpillar Inc,CAT,5.568073,407.83
Sherwin Williams Co,SHW,5.486539,396.14
Salesforce Inc,CRM,4.654725,343.18
Visa Inc Class A Shares,V,4.298939,311.82
American Express Co,AXP,4.189403,305.57
Mcdonald S Corp,MCD,4.065592,296.33
Amgen Inc,AMGN,4.035532,280.01
Travelers Cos Inc,TRV,3.585584,263.77
Jpmorgan Chase & Co,JPM,3.435555,249.97
Apple Inc,AAPL,3.196443,235.06
Honeywell International Inc,HON,3.165284,230.4
Intl Business Machines Corp,IBM,3.103928,228.83
Amazon.com Inc,AMZN,2.765163,207.86
Procter & Gamble Co,PG,2.434908,179.31
Chevron Corp,CVX,2.201149,162.53
Johnson & Johnson,JNJ,2.121262,154.52
Boeing Co,BA,2.101496,150.76
Nvidia Corp,NVDA,1.867051,136.92
3m Co,MMM,1.788811,132.95
Walt Disney Co,DIS,1.592251,115.45
Merck & Co. Inc.,MRK,1.388552,101.62
Walmart Inc,WMT,1.228504,91.31
Nike Inc Cl B,NKE,1.087946,77.61
Coca Cola Co,KO,0.883699,64.55
Cisco Systems Inc,CSCO,0.806283,59.59
Verizon Communications Inc,VZ,0.603683,44.37
