"Notes"	"State"	"State Code"	Deaths	Population	Crude Rate
	"Alabama"	"01"	542	4921532	11.0
	"Alaska"	"02"	133	731158	18.2
	"Arizona"	"04"	830	7421401	11.2
	"Arkansas"	"05"	364	3030522	12.0
	"California"	"06"	1552	39368078	3.9
	"Colorado"	"08"	654	5807719	11.3
	"Connecticut"	"09"	109	3557006	3.1
	"Delaware"	"10"	58	986809	5.9
	"Florida"	"12"	1730	21733312	8.0
	"Georgia"	"13"	939	10710017	8.8
	"Hawaii"	"15"	31	1407006	2.2
	"Idaho"	"16"	277	1826913	15.2
	"Illinois"	"17"	543	12587530	4.3
	"Indiana"	"18"	609	6754953	9.0
	"Iowa"	"19"	260	3163561	8.2
	"Kansas"	"20"	314	2913805	10.8
	"Kentucky"	"21"	518	4477251	11.6
	"Louisiana"	"22"	406	4645318	8.7
	"Maine"	"23"	132	1350141	9.8
	"Maryland"	"24"	267	6055802	4.4
	"Massachusetts"	"25"	134	6893574	1.9
	"Michigan"	"26"	761	9966555	7.6
	"Minnesota"	"27"	354	5657342	6.3
	"Mississippi"	"28"	278	2966786	9.4
	"Missouri"	"29"	704	6151548	11.4
	"Montana"	"30"	189	1080577	17.5
	"Nebraska"	"31"	139	1937552	7.2
	"Nevada"	"32"	372	3138259	11.9
	"New Hampshire"	"33"	118	1366275	8.6
	"New Jersey"	"34"	181	8882371	2.0
	"New Mexico"	"35"	303	2106319	14.4
	"New York"	"36"	462	19336776	2.4
	"North Carolina"	"37"	879	10600823	8.3
	"North Dakota"	"38"	77	765309	10.1
	"Ohio"	"39"	903	11693217	7.7
	"Oklahoma"	"40"	538	3980783	13.5
	"Oregon"	"41"	454	4241507	10.7
	"Pennsylvania"	"42"	919	12783254	7.2
	"Rhode Island"	"44"	30	1057125	2.8
	"South Carolina"	"45"	565	5218040	10.8
	"South Dakota"	"46"	88	892717	9.9
	"Tennessee"	"47"	767	6886834	11.1
	"Texas"	"48"	2287	29360759	7.8
	"Utah"	"49"	339	3249879	10.4
	"Vermont"	"50"	69	623347	11.1
	"Virginia"	"51"	697	8590563	8.1
	"Washington"	"53"	618	7693612	8.0
	"West Virginia"	"54"	220	1784787	12.3
	"Wisconsin"	"55"	442	5832655	7.6
	"Wyoming"	"56"	128	582328	22.0
